Type,Prediction,Correct,EvI,SvN,TvF,JvP,Model
INTP,ENFP,False,False,True,False,True,llama3.1:8b
INTJ,INTJ,True,True,True,True,True,llama3.1:8b
INTP,ENTJ,False,False,True,True,False,llama3.1:8b
ENFP,ENFP,True,True,True,True,True,llama3.1:8b
ENTJ,ENTP,False,True,True,True,False,llama3.1:8b
INFJ,ENFJ,False,False,True,True,True,llama3.1:8b
INTJ,INFJ,False,True,True,False,True,llama3.1:8b
ENTP,ENTP,True,True,True,True,True,llama3.1:8b
ESTJ,ESTJ,True,True,True,True,True,llama3.1:8b
INTP,ENFP,False,False,True,False,True,llama3.1:8b
ISTP,ENTP,False,False,False,True,True,llama3.1:8b
ENFP,ENTJ,False,True,True,False,False,llama3.1:8b
INFJ,ENFJ,False,False,True,True,True,llama3.1:8b
ENFP,ENFP,True,True,True,True,True,llama3.1:8b
ISTP,ISTP,True,True,True,True,True,llama3.1:8b
INFJ,UNKNOWN,False,False,True,False,False,llama3.1:8b
INTP,INTP,True,True,True,True,True,llama3.1:8b
INTP,INTP,True,True,True,True,True,llama3.1:8b
ENFJ,INFP,False,False,True,True,False,llama3.1:8b
INFJ,INTJ,False,True,True,False,True,llama3.1:8b
ENFJ,ENFJ,True,True,True,True,True,llama3.1:8b
ISTP,ENTP,False,False,False,True,True,llama3.1:8b
ISTJ,ENTP,False,False,False,True,False,llama3.1:8b
INFJ,INFJ,True,True,True,True,True,llama3.1:8b
INTP,ENTP,False,False,True,True,True,llama3.1:8b
INFJ,INTJ,False,True,True,False,True,llama3.1:8b
INTP,INTP,True,True,True,True,True,llama3.1:8b
INFP,UNKNOWN,False,False,True,False,False,llama3.1:8b
INTP,INTP,True,True,True,True,True,llama3.1:8b
ISTP,ENTP,False,False,False,True,True,llama3.1:8b
ENTP,ENTP,True,True,True,True,True,llama3.1:8b
INTJ,INFJ,False,True,True,False,True,llama3.1:8b
INTP,INTP,True,True,True,True,True,llama3.1:8b
ISTP,ISTP,True,True,True,True,True,llama3.1:8b
ENTP,ENTP,True,True,True,True,True,llama3.1:8b
ISFP,INTP,False,True,False,False,True,llama3.1:8b
ENFJ,INFJ,False,False,True,True,True,llama3.1:8b
INFJ,INFJ,True,True,True,True,True,llama3.1:8b
INTP,INTP,True,True,True,True,True,llama3.1:8b
INFJ,INFJ,True,True,True,True,True,llama3.1:8b
INTJ,INTJ,True,True,True,True,True,llama3.1:8b
ENFP,ENFP,True,True,True,True,True,llama3.1:8b
INFP,INFP,True,True,True,True,True,llama3.1:8b
INFP,INFP,True,True,True,True,True,llama3.1:8b
ENFJ,UNKNOWN,False,False,True,False,False,llama3.1:8b
INTP,ENFP,False,False,True,False,True,llama3.1:8b
INFP,ENFJ,False,False,True,True,False,llama3.1:8b
INTP,ENFP,False,False,True,False,True,llama3.1:8b
INFP,UNKNOWN,False,False,True,False,False,llama3.1:8b
INFP,INTJ,False,True,True,False,False,llama3.1:8b
INTP,ENTP,False,False,True,True,True,llama3.1:8b
